Compound,CAS,MW,MW_Reference,Expocast,ExpoCast_Reference,Fub,Fub_Reference,Clint,Clint_Reference,pKa_Acceptor,pKa_Acceptor_Reference,pKa_Donor,pKa_Donor_Reference,logKoa,logKoa_Reference,CNS,CNS_Reference,Neutral_Form,Neutral_Form_Reference
Isamoxole,57067-46-6,224.304,U.S. EPA CompTox Dashboard,3.17E-07,U.S. EPA CompTox Dashboard,0.33,OPERA (0.41),14.35,OPERA (0.45),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,2.37,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"N,N-Dimethylbutylamine",927-62-8,101.193,U.S. EPA CompTox Dashboard,9.89E-05,U.S. EPA CompTox Dashboard,0.65,OPERA (0.52),41.34,OPERA (0.61),9.87,Sipes 2017,None,Sipes 2017,1.68,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
Pebulate,1114-71-2,203.34,U.S. EPA CompTox Dashboard,7.29E-08,Wambaugh 2014,0.004933351,Wambaugh 2019,148.0666667,Wambaugh 2019,None,Sipes 2017,None,Sipes 2017,3.51,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
N-Butyl-N-ethylthiourea,85389-76-0,160.28,U.S. EPA CompTox Dashboard,1.12E-06,U.S. EPA CompTox Dashboard,0.49,OPERA (0.44),46.87,OPERA (0.53),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,1.64,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Ethyl 3-(N-butylacetamido)propionate,52304-36-6,215.293,U.S. EPA CompTox Dashboard,8.08E-08,Wambaugh 2014,0.65,OPERA (0.52),37.01,OPERA (0.34),None,Sipes 2017,None,Sipes 2017,1.65,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
N-n-Propyl-N-n-butyl-beta-dopamine,71800-28-7,251.37,U.S. EPA CompTox Dashboard,1.22E-06,U.S. EPA CompTox Dashboard,0.64,OPERA (0.64),3.11,OPERA (0.48),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,3.43,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.07,ACD/Labs GALAS
"1,1,3,3-Tetrabutylurea",4559-86-8,284.488,U.S. EPA CompTox Dashboard,5.43E-08,Wambaugh 2014,0.01,OPERA (0.76),33.79,OPERA (0.34),None,Sipes 2017,None,Sipes 2017,6.57,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Tetrabutylthiuram disulfide,1634-02-2,408.74,U.S. EPA CompTox Dashboard,4.29E-07,Wambaugh 2014,0.03,OPERA (0.71),36.11,OPERA (0.29),  2.32;  1.20,Sipes 2017,None,Sipes 2017,6.61,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"N,N-Dibutylformamide",761-65-9,157.257,U.S. EPA CompTox Dashboard,5.69E-06,U.S. EPA CompTox Dashboard,0.47,OPERA (0.5),24.78,OPERA (0.57),6.2,ACD/Labs GALAS,#NV,ACD/Labs GALAS,2.17,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
2-[4-(Dibutylamino)-2-hydroxybenzoyl]benzoic acid,54574-82-2,369.461,U.S. EPA CompTox Dashboard,6.61E-07,Wambaugh 2014,0.01,OPERA (0.76),5.06,OPERA (0.54),4.29,Sipes 2017,  9.21;  3.35,Sipes 2017,6.1,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
3-(Dibutylamino)phenol,43141-69-1,221.344,U.S. EPA CompTox Dashboard,1.57E-06,U.S. EPA CompTox Dashboard,0.02,OPERA (0.79),20.39,OPERA (0.53),1.25,ACD/Labs GALAS,#NV,ACD/Labs GALAS,4.75,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Tributylamine,102-82-9,185.355,U.S. EPA CompTox Dashboard,7.24E-08,Wambaugh 2014,0.43,OPERA (0.5),19.09,OPERA (0.62),10.01,Sipes 2017,None,Sipes 2017,4.16,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
"N,N,N',N'-Tetrabutyl-1,6-hexanediamine",27090-63-7,340.64,U.S. EPA CompTox Dashboard,6.37E-07,Wambaugh 2014,0.03,OPERA (0.71),14.89,OPERA (0.53), 10.34;  9.19,Sipes 2017,None,Sipes 2017,6.41,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
N-Nitrosodibutylamine,924-16-3,158.245,U.S. EPA CompTox Dashboard,1.392E-06,Wambaugh 2014,0.2602,Wetmore 2015,11.12,Wetmore 2015,3.3,Strope 2018,None,Sipes 2017,2.45,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Butyl-N-(4-hydroxybutyl)nitrosamine,3817-11-06,174.244,U.S. EPA CompTox Dashboard,5.91E-05,U.S. EPA CompTox Dashboard,0.63,OPERA (0.45),50.99,OPERA (0.57),None,Sipes 2017,None,Sipes 2017,0.85,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
2-N-Dibutylaminoethanol,102-81-8,173.3,U.S. EPA CompTox Dashboard,5.6E-07,Wambaugh 2014,0.68,OPERA (0.49),14.85,OPERA (0.58),9.43,Sipes 2017,None,Sipes 2017,2.86,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
N-Butyldiethanolamine,102-79-4,161.245,U.S. EPA CompTox Dashboard,2.65E-08,Wambaugh 2014,1,Paini 2020,1.12,Paini 2020,8.88,Sipes 2017,None,Sipes 2017,0.44,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,0.01,ACD/Labs GALAS
N-Butyl-N'-nitro-N-nitrosoguanidine,13010-08-7,189.175,U.S. EPA CompTox Dashboard,1.26E-07,Wambaugh 2014,0.85,OPERA (0.49),3.27,OPERA (0.51),0.28,Sipes 2017,5.93,Sipes 2017,0.22,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,1,ACD/Labs GALAS
N-Butyl-N-nitrosourea,869-01-2,145.162,U.S. EPA CompTox Dashboard,1.41E-06,U.S. EPA CompTox Dashboard,0.85,OPERA (0.58),7.69,OPERA (0.32),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,0.99,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
N-Butyl-L-histidine,58813-23-3,211.265,U.S. EPA CompTox Dashboard,5.69E-07,U.S. EPA CompTox Dashboard,0.96,OPERA (0.67),2.52,OPERA (0.53),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,0.85,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
"N,N''-Dibutylguanidine",34331-58-3,171.288,U.S. EPA CompTox Dashboard,1.96E-06,U.S. EPA CompTox Dashboard,0.5,OPERA (0.27),3.92,OPERA (0.52),#NV,ACD/Labs GALAS,9.9,ACD/Labs GALAS,2.24,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
2-butylguanidine,462-69-1,115.18,U.S. EPA CompTox Dashboard,2.64E-06,U.S. EPA CompTox Dashboard,0.57,OPERA (0.3),2.14,OPERA (0.47),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,0.61,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Butyl isocyanate,111-36-4,99.133,U.S. EPA CompTox Dashboard,1.4E-08,Wambaugh 2014,0.53,OPERA (0.46),24.91,OPERA (0.22),4.77,Sipes 2017,None,Sipes 2017,2.42,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"2-Butyl-1H-isoindole-1,3(2H)-dione",1515-72-6,203.241,U.S. EPA CompTox Dashboard,6.17E-08,Wambaugh 2014,0.51,OPERA (0.37),13.58,OPERA (0.48),None,Sipes 2017,None,Sipes 2017,3.15,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Denbufylline,57076-71-8,320.393,U.S. EPA CompTox Dashboard,1.87E-07,U.S. EPA CompTox Dashboard,0.56,OPERA (0.31),8.26,OPERA (0.43),8.2,ACD/Labs GALAS,#NV,ACD/Labs GALAS,2.82,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
4-Butylmorpholine,1005-67-0,143.23,U.S. EPA CompTox Dashboard,4.83E-06,U.S. EPA CompTox Dashboard,0.77,OPERA (0.5),17.75,OPERA (0.62),8.4,ACD/Labs GALAS,#NV,ACD/Labs GALAS,1.26,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.28,ACD/Labs GALAS
SC 51316,133690-62-7,431.544,U.S. EPA CompTox Dashboard,1.35E-07,U.S. EPA CompTox Dashboard,0.02,OPERA (0.77),5.9,OPERA (0.55),9.52,ACD/Labs GALAS,#NV,ACD/Labs GALAS,3.66,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
"1-Butanamine, N-methyl-",110-68-9,87.166,U.S. EPA CompTox Dashboard,3.68E-06,U.S. EPA CompTox Dashboard,0.68,OPERA (0.5),0.97,OPERA (0.6),2.57,ACD/Labs GALAS,#NV,ACD/Labs GALAS,1.14,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
Buformin,692-13-7,157.221,U.S. EPA CompTox Dashboard,1.1E-07,Wambaugh 2014,0.9,Lombardo 2018,0,OPERA (0.57), 10.69;  7.68; -2.67; -3.01; -4.09,Sipes 2017,None,Sipes 2017,-1.2,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Benomyl,17804-35-2,290.323,U.S. EPA CompTox Dashboard,1.03E-07,Wambaugh 2014,0.314333923,Wambaugh 2019,24.7,Wambaugh 2019,0.23,Wambaugh 2019,10.46,Wambaugh 2019,2.12,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.99,ACD/Labs GALAS
"N,N'-Dibutylurea",1792-17-2,172.272,U.S. EPA CompTox Dashboard,1.13E-07,Wambaugh 2014,0.53,OPERA (0.48),5.31,OPERA (0.28),None,Sipes 2017, 12.04; 11.73,Sipes 2017,1.98,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
3-Iodo-2-propynyl-N-butylcarbamate,55406-53-6,281.093,U.S. EPA CompTox Dashboard,2.141E-05,Wambaugh 2014,0.638666667,Wambaugh 2019,616.3333333,Wambaugh 2019,None,Sipes 2017,14,Wambaugh 2019,4.44,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Tybamate,4268-36-4,274.361,U.S. EPA CompTox Dashboard,4.04E-07,U.S. EPA CompTox Dashboard,0.42,OPERA (0.52),10.56,OPERA (0.27),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,2.4,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
1-Butyl-3-ethylthiourea,32900-06-4,160.28,U.S. EPA CompTox Dashboard,1.62E-06,U.S. EPA CompTox Dashboard,0.34,OPERA (0.45),27.11,OPERA (0.23),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,1.58,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"N,N'-Dibutylthiourea",109-46-6,188.33,U.S. EPA CompTox Dashboard,3.01E-07,Wambaugh 2014,0.09,OPERA (0.67),9.92,OPERA (0.31),  4.14;  0.21,Sipes 2017, 11.96; 11.50,Sipes 2017,2.45,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Butaphosphone,34691-05-9,195.199,U.S. EPA CompTox Dashboard,1.91E-07,U.S. EPA CompTox Dashboard,0.87,OPERA (0.46),0,OPERA (0.62),3.94,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-0.24,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Butafosfan,17316-67-5,179.2,U.S. EPA CompTox Dashboard,1.06E-07,Wambaugh 2014,0.84,OPERA (0.44),1.32,OPERA (0.54),10.13,Sipes 2017,3.14,Sipes 2017,-0.56,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,0,ACD/Labs GALAS
Butylcarbamyl chloride,41891-17-2,135.59,U.S. EPA CompTox Dashboard,2.2E-06,U.S. EPA CompTox Dashboard,0.68,OPERA (0.45),13.14,OPERA (0.17),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,1.87,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
N-Butylurea,592-31-4,116.164,U.S. EPA CompTox Dashboard,7.56E-08,Wambaugh 2014,0.91,OPERA (0.68),7.42,OPERA (0.29),None,Sipes 2017, 12.68; 12.32,Sipes 2017,0.19,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"Thiourea, butyl-",1516-32-1,132.23,U.S. EPA CompTox Dashboard,5.54E-07,U.S. EPA CompTox Dashboard,0.66,OPERA (0.48),4.94,OPERA (0.46),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,0.7,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
4-n-Butylaminobenzoic acid,4740-24-3,193.246,U.S. EPA CompTox Dashboard,5.31E-07,U.S. EPA CompTox Dashboard,0.37,OPERA (0.58),4.93,OPERA (0.52),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,3.3,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,0,ACD/Labs GALAS
"1,4-Bis(butylamino)anthracene-9,10-dione",17354-14-2,350.462,U.S. EPA CompTox Dashboard,7.97E-07,U.S. EPA CompTox Dashboard,0.07,OPERA (0.69),26.06,OPERA (0.5),  1.72;  0.45,Sipes 2017,None,Sipes 2017,4.93,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
4-(Butylamino)phenol,103-62-8,165.236,U.S. EPA CompTox Dashboard,1.93E-06,U.S. EPA CompTox Dashboard,0.17,OPERA (0.7),27.74,OPERA (0.72),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,2.44,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.99,ACD/Labs GALAS
N-Butylaniline,1126-78-9,149.237,U.S. EPA CompTox Dashboard,9.96E-08,Wambaugh 2014,0.14,OPERA (0.8),24.27,OPERA (0.75),5.23,Sipes 2017,None,Sipes 2017,2.95,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.99,ACD/Labs GALAS
"N-Butyl-2,2,6,6-tetramethylpiperidin-4-amine",36177-92-1,212.381,U.S. EPA CompTox Dashboard,2.01E-07,Wambaugh 2014,0.51,OPERA (0.45),7.29,OPERA (0.44), 10.46;  8.05,Sipes 2017,None,Sipes 2017,2.86,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
N-Ethyl-N-butylamine,13360-63-9,101.193,U.S. EPA CompTox Dashboard,6.95E-08,Wambaugh 2014,0.65,OPERA (0.53),0.96,OPERA (0.6),10.94,Sipes 2017,None,Sipes 2017,1.72,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
Butanilicaine,3785-21-5,254.76,U.S. EPA CompTox Dashboard,2.02E-07,U.S. EPA CompTox Dashboard,0.37,OPERA (0.5),3.87,OPERA (0.59),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,2.12,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.11,ACD/Labs GALAS
Bamethan,3703-79-5,209.289,U.S. EPA CompTox Dashboard,1.53E-07,Wambaugh 2014,0.66,OPERA (0.59),7.11,OPERA (0.58),9.2,Sipes 2017,10.3,Sipes 2017,1.56,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.04,ACD/Labs GALAS
N-Butyl-1-butanamine,111-92-2,129.247,U.S. EPA CompTox Dashboard,5.251E-06,Wambaugh 2014,0.43,OPERA (0.56),2.58,OPERA (0.4),10.92,Sipes 2017,None,Sipes 2017,2.56,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
N-Butylphosphorothioic triamide,94317-64-3,167.21,U.S. EPA CompTox Dashboard,2.992E-06,Wambaugh 2014,0.67,OPERA (0.46),0,OPERA (0.25), 12.46;  3.82; -2.84,Sipes 2017, 10.87; 11.40,Sipes 2017,0.01,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,1,ACD/Labs GALAS
N-Butyl-p-toluenesulfonamide,1907-65-9,227.32,U.S. EPA CompTox Dashboard,1.384E-06,Wambaugh 2014,0.18,OPERA (0.65),0,OPERA (0.69),None,Sipes 2017,11.06,Sipes 2017,2.61,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
N-Butylbenzenesulfonamide,3622-84-2,213.3,U.S. EPA CompTox Dashboard,4.561E-05,Wambaugh 2014,0.12,OPERA (0.68),0,OPERA (0.59),None,Sipes 2017,11.06,Sipes 2017,1.85,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
1-Butanol,71-36-3,74.123,U.S. EPA CompTox Dashboard,5.858E-05,Wambaugh 2014,0.87,OPERA (0.74),1,OPERA (0.63),None,Sipes 2017,None,Sipes 2017,0.8,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"Butane, 1-methoxy-",628-28-4,88.15,U.S. EPA CompTox Dashboard,6E-06,U.S. EPA CompTox Dashboard,0.74,OPERA (0.58),1.01,OPERA (0.67),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,1.51,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Cyhalofop-butyl,122008-85-9,357.381,U.S. EPA CompTox Dashboard,1.18E-07,Wambaugh 2014,0.01,OPERA (0.8),160.18,OPERA (0.42),None,Sipes 2017,None,Sipes 2017,4.4,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Butyl (2S)-2-hydroxypropanoate,34451-19-9,146.186,U.S. EPA CompTox Dashboard,1.28E-07,Wambaugh 2014,0.63,OPERA (0.46),145.27,OPERA (0.28),None,Sipes 2017,None,Sipes 2017,0.88,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Dibutyl maleate,105-76-0,228.288,U.S. EPA CompTox Dashboard,4.86E-08,Wambaugh 2014,0.51,OPERA (0.41),56.72,OPERA (0.39),None,Sipes 2017,None,Sipes 2017,3.81,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Dibutyl (2E)-but-2-enedioate,105-75-9,228.288,U.S. EPA CompTox Dashboard,1.03E-06,U.S. EPA CompTox Dashboard,0.51,OPERA (0.41),56.72,OPERA (0.39),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,3.81,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Butyl 2-cyanoacrylate,6606-65-1,153.181,U.S. EPA CompTox Dashboard,6.72E-06,U.S. EPA CompTox Dashboard,0.72,OPERA (0.54),317.41,OPERA (0.52),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,1.29,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Dibutyl ethanedioate,2050-60-4,202.25,U.S. EPA CompTox Dashboard,1.36E-07,Wambaugh 2014,0.51,OPERA (0.52),97.12,OPERA (0.38),None,Sipes 2017,None,Sipes 2017,2.85,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Butyl methacrylate,97-88-1,142.198,U.S. EPA CompTox Dashboard,7.47E-07,Wambaugh 2014,0.39,OPERA (0.4),185.17,OPERA (0.3),None,Sipes 2017,None,Sipes 2017,2.94,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Butyl 2-methylbutyrate,15706-73-7,158.241,U.S. EPA CompTox Dashboard,1.1E-07,Wambaugh 2014,0.08,OPERA (0.73),151.23,OPERA (0.34),None,Sipes 2017,None,Sipes 2017,3.18,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Butyl lactate,138-22-7,146.186,U.S. EPA CompTox Dashboard,8.07E-07,Wambaugh 2014,0.63,OPERA (0.46),145.27,OPERA (0.28),None,Sipes 2017,None,Sipes 2017,0.88,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
1-Butoxy-1-oxopropan-2-yl butanoate,7492-70-8,216.277,U.S. EPA CompTox Dashboard,1.63E-07,Wambaugh 2014,0.67,OPERA (0.53),94.09,OPERA (0.4),None,Sipes 2017,None,Sipes 2017,2.88,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Fluazifop-butyl,69806-50-4,383.367,U.S. EPA CompTox Dashboard,1.37E-07,Wambaugh 2014,0.007903333,Wambaugh 2019,430.6666667,Wambaugh 2019,0.8,Wambaugh 2019,None,Sipes 2017,3.64,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Butyl acrylate,141-32-2,128.171,U.S. EPA CompTox Dashboard,1.382E-06,Wambaugh 2014,0.4,OPERA (0.4),176.1,OPERA (0.29),None,Sipes 2017,None,Sipes 2017,2.39,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Butyl methyl phthalate,34006-76-3,236.267,U.S. EPA CompTox Dashboard,5.45E-06,U.S. EPA CompTox Dashboard,0.34,OPERA (0.48),103.48,OPERA (0.58),7.54,ACD/Labs GALAS,#NV,ACD/Labs GALAS,3.23,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Benzyl butyl phthalate,85-68-7,312.365,U.S. EPA CompTox Dashboard,0.0001424,Wambaugh 2014,0.316001073,Wambaugh 2019,495.6666667,Wambaugh 2019,None,Sipes 2017,None,Sipes 2017,5,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Monobutyl phthalate,131-70-4,222.24,U.S. EPA CompTox Dashboard,1.53E-07,Wambaugh 2014,0.208,Wetmore 2012,0.74,Wetmore 2012,None,Sipes 2017,3.08,Strope 2018,2.85,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,0,ACD/Labs GALAS
Butyl 4-aminobenzoate,94-25-7,193.246,U.S. EPA CompTox Dashboard,1.5E-07,Wambaugh 2014,0.31,OPERA (0.57),119.98,OPERA (0.68),3.28,Sipes 2017,None,Sipes 2017,3.01,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
4-Hydroxybenzoic acid butyl ester,94-26-8,194.23,U.S. EPA CompTox Dashboard,1.603E-05,Wambaugh 2014,0.04157,Wetmore 2015,39.3,Wetmore 2015,None,Sipes 2017,8.5,Honda 2019,3.46,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.93,ACD/Labs GALAS
Butyl benzoate,136-60-7,178.231,U.S. EPA CompTox Dashboard,2.896E-06,Wambaugh 2014,0.351333333,Wambaugh 2019,806.3333333,Wambaugh 2019,None,Sipes 2017,None,Sipes 2017,3.79,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Butyl isobutyl phthalate,17851-53-5,278.348,U.S. EPA CompTox Dashboard,6.21E-06,U.S. EPA CompTox Dashboard,0.12,OPERA (0.71),175.22,OPERA (0.62),-0.78,ACD/Labs GALAS,15.01,ACD/Labs GALAS,4.64,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Butyl 2-ethylhexyl phthalate,85-69-8,334.456,U.S. EPA CompTox Dashboard,2.35E-07,Wambaugh 2014,0.05,OPERA (0.74),65.82,OPERA (0.55),None,Sipes 2017,None,Sipes 2017,6.77,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Dibutyl phthalate,84-74-2,278.348,U.S. EPA CompTox Dashboard,9.411E-05,Wambaugh 2014,0.028,Tonnelier 2012,42.5,Tonnelier 2012,None,Sipes 2017,None,Sipes 2017,4.83,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Butyl anthranilate,7756-96-9,193.246,U.S. EPA CompTox Dashboard,1.35E-07,Wambaugh 2014,0.34,OPERA (0.58),125.3,OPERA (0.69),2.25,Sipes 2017,None,Sipes 2017,3.63,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Butyl salicylate,2052-14-4,194.23,U.S. EPA CompTox Dashboard,1.5E-05,U.S. EPA CompTox Dashboard,0.15,OPERA (0.69),107.24,OPERA (0.56),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,3.83,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"3-Pyridinecarboxylic acid, butyl ester",6938-06-03,179.219,U.S. EPA CompTox Dashboard,3.12E-06,U.S. EPA CompTox Dashboard,0.53,OPERA (0.36),192.06,OPERA (0.48),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,2.48,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Butyl propionate,590-01-2,130.187,U.S. EPA CompTox Dashboard,3.112E-06,Wambaugh 2014,0.28,OPERA (0.49),97.3,OPERA (0.29),None,Sipes 2017,None,Sipes 2017,2.3,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Butyl cyanoacetate,5459-58-5,141.17,U.S. EPA CompTox Dashboard,1.38E-07,Wambaugh 2014,0.44,OPERA (0.4),289.2,OPERA (0.41),None,Sipes 2017,5.86,Sipes 2017,1.12,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,1,ACD/Labs GALAS
Acetyl tributyl citrate,77-90-7,402.484,U.S. EPA CompTox Dashboard,9.492E-05,Wambaugh 2014,0.013293333,Wambaugh 2019,270.3333333,Wambaugh 2019,None,Sipes 2017,None,Sipes 2017,6.92,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Tributyl citrate,77-94-1,360.447,U.S. EPA CompTox Dashboard,0.000131,U.S. EPA CompTox Dashboard,0.35,OPERA (0.46),88.85,OPERA (0.28),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,3.73,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
(+/-)-Dibutyl malate,6280-99-5,246.303,U.S. EPA CompTox Dashboard,1.43E-06,U.S. EPA CompTox Dashboard,0.6,OPERA (0.62),59.54,OPERA (0.34),#NV,ACD/Labs GALAS,16,ACD/Labs GALAS,2.22,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Butyl butyrate,109-21-7,144.214,U.S. EPA CompTox Dashboard,1.37E-05,U.S. EPA CompTox Dashboard,0.18,OPERA (0.55),144.74,OPERA (0.33),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,2.83,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Dibutyl butanedioate,141-03-7,230.304,U.S. EPA CompTox Dashboard,1.61E-07,Wambaugh 2014,0.31,OPERA (0.48),62.13,OPERA (0.42),None,Sipes 2017,None,Sipes 2017,3.39,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Butyl 4-oxopentanoate,2052-15-5,172.224,U.S. EPA CompTox Dashboard,1.67E-07,Wambaugh 2014,0.45,OPERA (0.43),330.99,OPERA (0.42),None,Sipes 2017,None,Sipes 2017,1.46,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
